Date,Open,High,Low,Close,Volume
17/10/23 19:30,254.2,254.2,254.04,254.1,56689
17/10/23 19:00,254.3,254.38,254.15,254.175,25842
17/10/23 18:30,254.33,254.38,254.15,254.29,16609
17/10/23 18:00,254.1,254.4,254.06,254.35,28401
17/10/23 17:30,254.33,254.37,254.05,254.06,39598
17/10/23 17:00,254.53,254.85,254.2,254.33,54549
17/10/23 16:30,254.58,254.8,254.46,254.56,43564
17/10/23 16:00,254.87,255,254.4,254.58,3290251
17/10/23 15:30,254.96,255.06,253.92,254.85,5717076
17/10/23 15:00,254.96,255.56,247.91,254.92,4094084
17/10/23 14:30,255.13,256.219,254.54,254.96,5167926
17/10/23 14:00,254.33,255.44,254.03,255.13,4871967
17/10/23 13:30,254.404,254.995,253.672,254.29,4906606
17/10/23 13:00,255.91,256.005,254.37,254.41,4889600
17/10/23 12:30,255.98,257.183,255.56,255.89,5451791
17/10/23 12:00,254.96,256.93,254.83,256,7485957
17/10/23 11:30,253.84,255.09,253.4,254.94,6258879
17/10/23 11:00,253.53,254.376,252.78,253.822,6862813
17/10/23 10:30,251.03,253.87,250.8,253.52,8580810
17/10/23 10:00,248.59,251.89,248.36,251.031,11420256
17/10/23 9:30,250.1,251.4,247.08,248.592,14217844
17/10/23 9:00,251.82,251.92,249.85,250.1,557736
17/10/23 8:30,252.78,252.8,251.61,251.82,287409
17/10/23 8:00,253.07,254.01,252.072,252.8,195002
17/10/23 7:30,252.95,253.4,252.67,253.06,70463
17/10/23 7:00,252.94,253.21,252.66,252.95,52831
17/10/23 6:30,252.55,253.06,252.3,252.9,40063
17/10/23 6:00,252.65,252.75,252.25,252.5,28781
17/10/23 5:30,252.51,252.87,252.45,252.65,16670
17/10/23 5:00,252.23,252.88,252.18,252.5,21131
17/10/23 4:30,253.07,253.14,251.99,252.27,53666
17/10/23 4:00,253.51,253.89,252.96,253.1,36395
16/10/23 19:30,253.37,253.41,253.12,253.22,67019
16/10/23 19:00,253.26,253.48,252.28,253.39,37221
16/10/23 18:30,253.56,253.59,253.21,253.23,29397
16/10/23 18:00,253.63,253.7,253.52,253.53,22200
16/10/23 17:30,253.74,253.87,253.61,253.63,26253
16/10/23 17:00,253.59,253.92,253.58,253.74,24791
16/10/23 16:30,253.86,253.92,253.41,253.6,83454
16/10/23 16:00,253.88,254.41,253.62,253.86,3807570
16/10/23 15:30,255,255.228,253.68,253.88,5828841
16/10/23 15:00,254.97,255.01,253.78,255,4421955
16/10/23 14:30,254.55,255.18,254.12,254.98,4757907
16/10/23 14:00,253.24,255.4,253.1,254.566,7042976
16/10/23 13:30,251.96,253.39,251.71,253.23,4131890
16/10/23 13:00,252.75,253.38,250.82,251.95,5063777
16/10/23 12:30,253,253.26,252.28,252.748,3835244
16/10/23 12:00,252.05,253.14,251.58,253.011,4820475
16/10/23 11:30,252.36,252.896,251.45,252.04,4855882
16/10/23 11:00,253.22,253.87,251.87,252.41,6545589
16/10/23 10:30,253.1,253.68,250,253.2,7193405
16/10/23 10:00,251.53,253.25,250.91,253.097,9618247
16/10/23 9:30,250.05,254.17,248.48,251.55,16423471
16/10/23 9:00,249.415,257.41,249.15,250.01,382888
16/10/23 8:30,248.41,250,248.25,249.362,323661
16/10/23 8:00,249.12,252.5,247.5,248.41,434406
16/10/23 7:30,248.07,248.7,247.78,248.37,126440
16/10/23 7:00,249.08,249.23,247.52,248.04,205517
16/10/23 6:30,248.69,249.17,248.62,249.09,37381
16/10/23 6:00,248.61,248.98,248.15,248.69,38125
16/10/23 5:30,248.25,248.75,248.2,248.59,36339
16/10/23 5:00,248.39,248.5,248.1,248.24,46567
16/10/23 4:30,249.11,249.34,248.16,248.4,84280
16/10/23 4:00,250.77,251.29,247.71,249.15,203377
13/10/23 19:30,251.14,251.23,251,251.025,89686
13/10/23 19:00,251.25,251.28,251.1,251.15,53187
13/10/23 18:30,251.22,251.46,251.14,251.24,49086
13/10/23 18:00,251.4,251.8,251.14,251.22,60552
13/10/23 17:30,251.53,252.15,251.4,251.44,88742
13/10/23 17:00,251.275,251.55,251.25,251.53,68411
13/10/23 16:30,251.1,251.4,251.09,251.28,88153
13/10/23 16:00,251.13,264.72,250.75,251.1,3812574
13/10/23 15:30,251.43,251.7,250.22,251.13,7382973
13/10/23 15:00,250.99,252.48,250.22,251.405,5612813
13/10/23 14:30,250.73,251.77,250.43,250.97,4819411
13/10/23 14:00,251.7,252.009,250.384,250.722,5021138
13/10/23 13:30,251.53,252.493,250.79,251.69,5585245
13/10/23 13:00,253.19,253.4,251.52,251.527,4967372
13/10/23 12:30,253.837,254.399,252.692,253.212,4636989
13/10/23 12:00,253.028,254.36,252.45,253.82,6167345
13/10/23 11:30,253.51,254.09,252.72,253.04,6857502
13/10/23 11:00,254.1,255.06,253.02,253.49,8407447
13/10/23 10:30,255.23,256.38,253.35,254.12,10158834
13/10/23 10:00,257.81,257.85,254.89,255.24,12568685
13/10/23 9:30,258.9,259.6,256.07,257.88,15842525
13/10/23 9:00,258.6,259.15,258.35,258.88,395784
13/10/23 8:30,257.319,258.87,257.23,258.6,347076
13/10/23 8:00,256.7,259.93,255.837,257.26,248560
13/10/23 7:30,257.25,257.3,256.64,256.97,62601
13/10/23 7:00,256.58,257.32,256.42,257.22,107817
13/10/23 6:30,256.23,256.99,256.05,256.5,55309
13/10/23 6:00,255.9,256.25,255.78,256.17,54469
13/10/23 5:30,256.37,256.37,255.75,255.87,54673
13/10/23 5:00,256.58,256.62,256.04,256.36,49048
13/10/23 4:30,256.69,256.79,256.18,256.5,43649
13/10/23 4:00,257.27,257.5,255.3,256.7,58447
12/10/23 19:30,257.11,257.15,257,257.13,97480
12/10/23 19:00,257.31,257.45,257,257.07,71577
12/10/23 18:30,257.53,257.776,257.275,257.38,70270
12/10/23 18:00,258.08,258.15,257.5,257.55,80508
12/10/23 17:30,258.11,258.28,257.97,258.085,41036
12/10/23 17:00,258.3,258.4,257.96,258.115,69750
12/10/23 16:30,258.52,258.87,258.28,258.35,227758
12/10/23 16:00,258.82,261.738,258.4,258.52,2523180
12/10/23 15:30,258.31,259.74,258.24,258.904,6735449
12/10/23 15:00,258.25,259.33,258.08,258.31,4993912
12/10/23 14:30,259.09,264.26,257.96,258.24,5873615
12/10/23 14:00,258.54,259.33,256.631,259.1,9517179
12/10/23 13:30,259.76,260.41,258.35,258.55,7612773
12/10/23 13:00,263.416,263.53,259.64,259.77,9047847
12/10/23 12:30,264.48,265.39,263.16,263.412,6565086
12/10/23 12:00,263.992,264.96,263.531,264.46,5938566
12/10/23 11:30,263.24,264.16,262.97,264,5224566
12/10/23 11:00,262.335,264.394,261.48,263.22,7640238
12/10/23 10:30,263.1,263.6,261.65,262.335,8345540
12/10/23 10:00,262.795,265.24,262.751,263.122,13372323
12/10/23 9:30,262.92,265.41,260.95,262.795,16765288
12/10/23 9:00,262.49,267.655,261.79,262.92,366246
12/10/23 8:30,263.35,263.5,261.3,262.5,713435
12/10/23 8:00,263.62,264.59,262.99,263.34,315681
12/10/23 7:30,263.37,263.51,263,263.39,93438
12/10/23 7:00,263.56,263.75,263.25,263.36,70179
12/10/23 6:30,263.72,263.81,263.49,263.49,17035
12/10/23 6:00,263.67,263.86,263.58,263.6,22379
12/10/23 5:30,263.41,263.79,263.41,263.69,15004
12/10/23 5:00,263.65,263.69,263.4,263.41,16325
12/10/23 4:30,263.43,263.65,263.24,263.65,21018
12/10/23 4:00,263.89,263.97,263.06,263.41,49143
11/10/23 19:30,263.05,263.11,262.75,262.75,87559
11/10/23 19:00,263,263.05,262.98,263.03,46985
11/10/23 18:30,262.92,263.13,262.9,263,37029
11/10/23 18:00,262.915,262.97,262.81,262.9,31947
11/10/23 17:30,263.08,263.16,262.87,262.92,26683
11/10/23 17:00,263.06,263.15,262.85,263.08,38383
11/10/23 16:30,263.16,263.16,262.852,263.04,53187
11/10/23 16:00,262.955,267.63,257.89,263.13,4293980
11/10/23 15:30,263.24,263.88,262.92,262.95,6100659
11/10/23 15:00,263.55,264.13,262.23,263.265,5106957
11/10/23 14:30,263.335,263.915,263.12,263.524,4186684
11/10/23 14:00,261.83,263.96,261.71,263.33,5953568
11/10/23 13:30,261.95,262,260.9,261.85,5054270
11/10/23 13:00,262.415,263.18,261.68,261.969,4631124
11/10/23 12:30,262.005,262.8,261.31,262.393,4988935
11/10/23 12:00,262.765,262.85,261.04,262,7070678
11/10/23 11:30,264.16,264.75,261.93,262.76,7744828
11/10/23 11:00,266.08,267.436,263.92,264.16,7512564
11/10/23 10:30,264.11,266.1,263.08,266.062,9437387
11/10/23 10:00,264.99,265.51,263.58,264.14,12093300
11/10/23 9:30,266.2,268.6,264.34,264.944,19067395
11/10/23 9:00,265.79,266.205,265.27,266.12,301752
11/10/23 8:30,265.67,265.98,264.4,265.79,546893
11/10/23 8:00,265.24,266.7,263.62,265.7,417942
11/10/23 7:30,266.2,266.7,265.78,266.21,153648
11/10/23 7:00,265.1,266.7,265.07,266.24,199701
11/10/23 6:30,265.3,265.34,264.91,265.17,24986
11/10/23 6:00,265.12,265.44,264.69,265.25,41581
11/10/23 5:30,264.54,265.25,264.52,265.1,33105
11/10/23 5:00,264.58,264.77,264.41,264.65,28861
11/10/23 4:30,264.58,264.96,264.35,264.55,35695
11/10/23 4:00,263.77,265.88,263.77,264.6,90492
10/10/23 19:30,264.28,264.38,263.96,264.01,83236
10/10/23 19:00,264.3,264.35,264.21,264.32,32898
10/10/23 18:30,264.2,264.38,264,264.25,67993
10/10/23 18:00,263.62,264.23,263.58,264.19,85512
10/10/23 17:30,263.6,269.054,249.164,263.62,25580
10/10/23 17:00,263.55,263.7,263.42,263.6,42552
10/10/23 16:30,263.35,263.62,263.26,263.58,219056
10/10/23 16:00,263.55,264.07,263.2,263.35,3277994
10/10/23 15:30,264.25,264.54,263.34,263.56,6668891
10/10/23 15:00,264.42,264.8,263.76,264.24,5339028
10/10/23 14:30,262.89,265.61,262.81,264.402,7038148
10/10/23 14:00,263.78,264.75,262.8,262.861,6157241
10/10/23 13:30,264.38,264.5,262.94,263.775,6342724
10/10/23 13:00,265.31,265.31,262.89,264.38,9181371
10/10/23 12:30,266.541,266.89,265.18,265.305,6569977
10/10/23 12:00,267.68,267.85,265.51,266.55,7438343
10/10/23 11:30,268.4,268.94,267.13,267.699,6776866
10/10/23 11:00,267.18,268.73,265.514,268.375,9138601
10/10/23 10:30,265.25,268.32,265.213,267.16,13599025
10/10/23 10:00,265.296,265.899,263.64,265.235,13263496
10/10/23 9:30,257.75,265.61,257.65,265.25,21321517
10/10/23 9:00,257.65,258.19,257.41,257.83,268945
10/10/23 8:30,258.146,260.93,253.695,257.6,232201
10/10/23 8:00,259.15,259.845,257.27,258.16,347673
10/10/23 7:30,258.28,259.25,257.81,257.99,156759
10/10/23 7:00,259.35,259.5,258.26,258.27,125522
10/10/23 6:30,259.71,259.79,259.31,259.31,35417
10/10/23 6:00,259.34,259.85,259.23,259.73,21321
10/10/23 5:30,259.43,259.45,259.17,259.34,22749
10/10/23 5:00,259.67,259.75,259.33,259.43,34048
10/10/23 4:30,259.68,259.87,259.08,259.67,52756
10/10/23 4:00,258.12,259.98,258.12,259.7,124586
09/10/23 19:30,258.39,258.43,258.11,258.12,87645
09/10/23 19:00,258.72,258.79,258.06,258.42,94848
09/10/23 18:30,258.78,258.89,258.7,258.75,27335
09/10/23 18:00,258.74,258.86,258.7,258.78,22932
09/10/23 17:30,258.84,272.729,258.66,258.74,29594
09/10/23 17:00,258.98,259.1,258.75,258.77,35301
09/10/23 16:30,258.86,259.67,258.6,258.99,91214
09/10/23 16:00,259.62,263.86,251.075,258.85,2169567
09/10/23 15:30,260.73,261.36,259.2,259.62,7921410
09/10/23 15:00,260.27,261.04,254.95,260.738,6672964
09/10/23 14:30,260.08,260.67,259.25,260.27,6797093
09/10/23 14:00,258.7,260.13,258.11,260.097,7065337
09/10/23 13:30,255.81,258.69,255.774,258.68,7693830
09/10/23 13:00,254.935,255.88,253.9,255.78,4466919
09/10/23 12:30,255.336,255.61,254.12,254.925,4701484
09/10/23 12:00,253.74,255.68,253.58,255.36,5680950
09/10/23 11:30,253.79,254.13,253.08,253.735,5278451
09/10/23 11:00,253.249,253.89,252.05,253.78,6905711
09/10/23 10:30,254.89,255.24,252.75,253.24,8820864
09/10/23 10:00,255.975,256.32,253.86,254.914,9979424
09/10/23 9:30,255.31,256.62,253.47,256,15924409
09/10/23 9:00,255.75,256.45,255.29,255.33,358797
09/10/23 8:30,256.59,256.7,255.66,255.7,284090
09/10/23 8:00,255.9,256.878,254.35,256.55,390462
09/10/23 7:30,256.25,256.88,256.16,256.53,106886
09/10/23 7:00,255.82,256.67,255.66,256.25,219011
09/10/23 6:30,255.87,256.1,255.66,255.83,31517
09/10/23 6:00,255.88,256.24,255.6,255.85,54508
09/10/23 5:30,256.47,256.55,255.87,255.88,52281
09/10/23 5:00,256.25,256.63,256.2,256.46,54884
09/10/23 4:30,255.53,256.59,255.5,256.21,88873
09/10/23 4:00,256,256.99,255.02,255.52,172897
06/10/23 19:30,260.53,260.75,260.4,260.545,74782
06/10/23 19:00,260.58,260.65,260.25,260.525,38763
06/10/23 18:30,260.68,260.74,260.53,260.62,40024
06/10/23 18:00,260.59,260.75,260.55,260.7,34572
06/10/23 17:30,260.43,264.756,246.142,260.65,42870
06/10/23 17:00,260.46,278.838,260.4,260.43,64515
06/10/23 16:30,260.2,261.21,257.535,260.49,178573
06/10/23 16:00,260.53,260.8,256.374,260.22,3468487
06/10/23 15:30,261.36,261.38,260.26,260.55,6859356
06/10/23 15:00,261.1,261.65,257.726,261.38,6078694
06/10/23 14:30,260.59,261.28,254.093,261.1,5553698
06/10/23 14:00,259.096,260.62,258.76,260.589,5310845
06/10/23 13:30,259.8,260.21,258.87,259.109,5074778
06/10/23 13:00,259.22,260.28,258.54,259.789,5993865
06/10/23 12:30,257.63,259.69,257.32,259.236,6145863
06/10/23 12:00,257.684,258.38,256.88,257.65,7271317
06/10/23 11:30,254.2,257.83,254.125,257.671,9162388
06/10/23 11:00,253.793,255,253.36,254.16,8234799
06/10/23 10:30,254.28,255.504,252.99,253.79,10659253
06/10/23 10:00,252.155,254.58,251.61,254.25,13343227
06/10/23 9:30,253.98,255.08,250.65,252.145,21412342
06/10/23 9:00,252.05,254,251.85,253.98,854508
06/10/23 8:30,256.658,256.75,251.6,252.04,2096128
06/10/23 8:00,257,263.01,255.65,256.7,632660
06/10/23 7:30,256.16,256.37,255.9,255.98,165361
06/10/23 7:00,256.98,257.25,255.88,256.19,282281
06/10/23 6:30,256.8,257.24,256.78,256.98,68114
06/10/23 6:00,256.6,257.15,256.19,256.85,36286
06/10/23 5:30,257.19,257.2,256.42,256.57,37819
06/10/23 5:00,255.86,257.19,255.76,257.17,57265
06/10/23 4:30,256.63,256.69,255.86,255.88,69539
06/10/23 4:00,256,257.78,256,256.58,156278
05/10/23 19:30,259.78,259.87,259.42,259.6,64699
05/10/23 19:00,259.95,260.09,259.74,259.83,43179
05/10/23 18:30,259.724,259.98,259.725,259.96,29948
05/10/23 18:00,259.7,259.94,259.7,259.72,56225
05/10/23 17:30,259.45,264.377,241.554,259.75,55044
05/10/23 17:00,259.47,259.65,259.38,259.45,42777
05/10/23 16:30,259.25,261.731,259.11,259.485,95841
05/10/23 16:00,259.9,260.14,259.11,259.3,3302433
05/10/23 15:30,260.77,261.15,259.82,260.04,7226267
05/10/23 15:00,261.99,262.2,260.265,260.771,6253395
05/10/23 14:30,261.67,262.39,261.183,261.99,6121311
05/10/23 14:00,260.85,261.95,260.77,261.665,6494354
05/10/23 13:30,259.47,260.85,259.01,260.832,6206545
05/10/23 13:00,258.87,259.53,258.1,259.482,4931987
05/10/23 12:30,259.691,260.1,257.95,258.86,6441649
05/10/23 12:00,258.79,260,258.7,259.72,7291450
05/10/23 11:30,258.04,259.17,257.234,258.8,7205640
05/10/23 11:00,257.13,258.39,256.25,258.042,8886249
05/10/23 10:30,259.65,259.75,256.61,257.13,10550413
05/10/23 10:00,259.55,259.85,257.57,259.655,14526263
05/10/23 9:30,260,263.6,258.2,259.52,22331181
05/10/23 9:00,260.35,261.585,249.23,260,393348
05/10/23 8:30,261.92,262,259.6,260.3,636979
05/10/23 8:00,262.05,262.29,258.3,261.91,519920
05/10/23 7:30,261.6,262.11,261.47,262.08,216113
05/10/23 7:00,260.88,261.88,260.58,261.57,218430
05/10/23 6:30,260.65,261.13,260.53,260.88,65330
05/10/23 6:00,259.72,260.65,259.62,260.65,40759
05/10/23 5:30,259.46,259.88,259.2,259.81,36483
05/10/23 5:00,259.61,260.1,259.15,259.46,50030
05/10/23 4:30,260.02,260.47,259.54,259.62,45051
05/10/23 4:00,258.9,260.35,258.77,260.02,111580
04/10/23 19:30,260.44,260.68,260.35,260.51,105529
04/10/23 19:00,259.86,260.55,259.85,260.46,85501
04/10/23 18:30,259.81,260.13,259.7,259.96,64891
04/10/23 18:00,259.92,260.15,259.5,259.81,119465
04/10/23 17:30,260.64,271.972,249.532,259.935,129938
04/10/23 17:00,260.63,261.16,255.4,260.62,141747
04/10/23 16:30,261.25,261.45,260.52,260.65,194603
04/10/23 16:00,261.26,261.83,256.85,261.27,6456140
04/10/23 15:30,260.08,261.86,259.95,261.26,11829125
04/10/23 15:00,258.8,260.52,258.29,260.06,7972409
04/10/23 14:30,257.96,258.99,257.74,258.8,6206529
04/10/23 14:00,256.58,258.06,256.41,257.96,5706142
04/10/23 13:30,257.15,257.6,252.466,256.6,5040404
04/10/23 13:00,257.8,258.46,257.02,257.13,6529872
04/10/23 12:30,257.47,257.99,256.785,257.78,5674413
04/10/23 12:00,257.45,257.668,256.2,257.448,6247985
04/10/23 11:30,255.95,257.52,255.31,257.47,7774372
04/10/23 11:00,254.515,256.99,253.8,255.94,10880971
04/10/23 10:30,251.42,255.46,251.352,254.52,13654202
04/10/23 10:00,252.58,253.23,250.43,251.419,15300311
04/10/23 9:30,248.14,253.3,247.6,252.61,20545857
04/10/23 9:00,248.07,248.36,247.5,248.18,288873
04/10/23 8:30,248.07,249.91,245.345,248,337008
04/10/23 8:00,246.46,248.54,242.24,248.05,467467
04/10/23 7:30,247.29,248.06,247.1,247.52,122917
04/10/23 7:00,245.54,247.7,245.43,247.29,156330
04/10/23 6:30,246.11,246.24,245.02,245.46,29961
04/10/23 6:00,245.75,246.29,245.66,246.1,24408
04/10/23 5:30,245.33,245.85,245.33,245.76,40969
04/10/23 5:00,245.3,245.75,245.06,245.4,36335
04/10/23 4:30,244.89,245.54,244.6,245.3,53527
04/10/23 4:00,243.74,244.9,243.74,244.9,91692
03/10/23 19:30,246.25,246.68,246,246.1,107512
03/10/23 19:00,246.36,246.39,246.01,246.15,32065
03/10/23 18:30,246.11,269.79,246.07,246.39,45926
03/10/23 18:00,246.53,246.65,246.07,246.1,53017
03/10/23 17:30,246.5,294.56,171.782,246.46,52374
03/10/23 17:00,246.45,246.79,246.41,246.475,41532
03/10/23 16:30,246.92,247.1,246.3,246.47,130718
03/10/23 16:00,246.53,247.14,245,246.92,4457598
03/10/23 15:30,245.6,246.865,245.19,246.61,7477725
03/10/23 15:00,246.88,247.05,245.47,245.58,5305015
03/10/23 14:30,246.32,247.417,246.25,246.914,4615679
03/10/23 14:00,247.98,248.3,246.19,246.322,4924919
03/10/23 13:30,247.85,248.37,247.13,247.961,4384542
03/10/23 13:00,248.3,249.08,247.65,247.83,3878656
03/10/23 12:30,249.064,249.24,247.89,248.31,4830549
03/10/23 12:00,248.06,249.74,248.03,249.065,6500924
03/10/23 11:30,246.86,248.44,246.25,248,7074790
03/10/23 11:00,244.76,247.58,244.45,246.87,7365079
03/10/23 10:30,247.48,248,244.62,244.76,10243966
03/10/23 10:00,249.76,249.85,246.08,247.45,13160432
03/10/23 9:30,248.61,250.02,246.51,249.76,17558648
03/10/23 9:00,247.99,248.98,247.9,248.68,314543
03/10/23 8:30,249.35,253.98,243.565,247.93,422679
03/10/23 8:00,249.95,251.6,248.25,249.27,388839
03/10/23 7:30,249,249.2,248.35,248.79,133450
03/10/23 7:00,249.88,250.19,248.51,249,201066
03/10/23 6:30,249.89,250.3,249.4,249.9,41365
03/10/23 6:00,250.01,250.2,249.29,249.88,34750
03/10/23 5:30,250.14,250.32,249.75,250,33447
03/10/23 5:00,250.19,250.38,249.66,250.17,48726
03/10/23 4:30,250.81,250.88,250,250.18,36460
03/10/23 4:00,251,251.65,250.14,250.84,42971
02/10/23 19:30,251.5,251.85,251.45,251.83,98077
02/10/23 19:00,251.28,251.69,251.28,251.51,60540
02/10/23 18:30,251.18,251.34,251.1,251.28,31105
02/10/23 18:00,251.225,251.3,250.85,251.16,51172
02/10/23 17:30,251.115,300.294,177.967,251.225,52571
02/10/23 17:00,251.47,251.57,250.7,251.05,65738
02/10/23 16:30,251.56,251.75,251.3,251.46,150549
02/10/23 16:00,251.63,251.91,222.854,251.57,4253287
02/10/23 15:30,249.97,251.75,249.835,251.617,7310845
02/10/23 15:00,248.79,250.6,248.05,249.97,6118050
02/10/23 14:30,248.86,249.46,247.88,248.81,5461002
02/10/23 14:00,249.418,249.88,248.1,248.832,6134120
02/10/23 13:30,250.32,250.57,248.75,249.4,5462239
02/10/23 13:00,250.6,250.93,248.53,250.29,8344796
02/10/23 12:30,252.16,253.12,250.56,250.598,6019237
02/10/23 12:00,251.444,253.25,251.07,252.16,6824763
02/10/23 11:30,254.07,254.28,242.945,251.437,8603344
02/10/23 11:00,250.25,254.19,250.12,254.07,9526044
02/10/23 10:30,248.15,251.68,247.402,250.25,10702229
02/10/23 10:00,246.13,250.78,245.82,248.102,15072412
02/10/23 9:30,244.81,248.81,242.62,246.13,20333221
02/10/23 9:00,245.48,254.02,239.35,244.87,3328858
02/10/23 8:30,250.19,250.35,245.48,245.48,460331
02/10/23 8:00,250.6,253.43,249.72,250.16,413920
02/10/23 7:30,251.51,251.53,250.55,250.64,112957
02/10/23 7:00,251.19,251.65,250.95,251.5,122192
02/10/23 6:30,251.17,251.56,251,251.12,37667
02/10/23 6:00,250.91,251.58,250.85,251.14,67386
02/10/23 5:30,251.82,251.92,250.6,250.98,59865
02/10/23 5:00,252.17,252.17,251.61,251.8,44268
02/10/23 4:30,252.18,252.71,252,252.17,52686
02/10/23 4:00,253.33,253.52,251.72,252.23,100820